date,value
"2017-02-11",2.02395106
"2017-02-12",2.60625667
"2017-02-13",6.81326816
"2017-02-14",2.10172596
"2017-02-15",1.13381862
"2017-02-16",3.45408072
"2017-02-17",6.31342472
"2017-02-18",3.90530639
"2017-02-19",1.750935309
"2017-02-20",5.87784875
"2017-02-21",4.47439628
"2017-02-22",2.4079377017
"2017-02-23",4.42084873
"2017-02-24",5.04408260
"2017-02-25",1.46371021
"2017-02-26",1.171353625
"2017-02-27",3.082539625
"2017-02-28",2.2906475683
"2017-03-01",2.72575696
"2017-03-02",4.95398533
"2017-03-03",4.168669013
"2017-03-04",3.05672301
"2017-03-05",1.49303984
"2017-03-06",4.15268798
"2017-03-07",3.68341112
"2017-03-08",5.478014162
"2017-03-09",5.91992589
"2017-03-10",3.47309554
"2017-03-11",3.851670677
"2017-03-12",2.600750346
"2017-03-13",1.601738019
"2017-03-14",1.31729029
"2017-03-15",1.04978395
"2017-03-16",4.308025161
"2017-03-17",1.846616864
"2017-03-18",2.206469701
"2017-03-19",4.17891576
"2017-03-20",0.69206136
"2017-03-21",2.160560283
"2017-03-22",0.518097678
"2017-03-23",5.79701798
"2017-03-24",1.24270664
"2017-03-25",1.44963406
"2017-03-26",1.8348223867
"2017-03-27",1.36873024
"2017-03-28",2.70800781
"2017-03-29",4.04057665
"2017-03-30",3.358761737
"2017-03-31",3.50526302
"2017-04-01",0.3261378
"2017-04-02",0.67695693
"2017-04-03",0.56752811
"2017-04-04",0.92509123
"2017-04-05",0.94570905
"2017-04-06",1.61363017
"2017-04-07",7.960729495
"2017-04-08",2.62448612
"2017-04-09",0.96151955
"2017-04-10",0.44869518
"2017-04-11",2.73474879
"2017-04-12",0.61894885
"2017-04-13",4.41492173
"2017-04-14",0.316712725
"2017-04-15",3.78334225
"2017-04-16",1.65599082
"2017-04-17",0.82288324
"2017-04-18",2.72940982
"2017-04-19",4.88064282
"2017-04-20",5.894085712
"2017-04-21",2.76235708
"2017-04-22",2.46894007
"2017-04-23",1.39735316
"2017-04-24",2.4548096
"2017-04-25",2.69772245
"2017-04-26",0.76055381
"2017-04-27",2.20847753
"2017-04-28",3.158933532
"2017-04-29",4.13079528
"2017-04-30",1.04639647
"2017-05-01",0.60329410
